Id;Varaint;Name;zasticena;vrsta;jestivost;slika
147;(Noulet & Dassier) Richon & Roze;Bijela šljivovača, ograđena rudoliska;;sepium;7;/slike/gljive/Entoloma _sepium _Noulet  Dassier Richon  Roze.jpg
148;(Bull:Fr) Kummer;Olovasta rudoliska, velika rudoliska;;sinuatum;2;/slike/gljive/Entoloma _sinuatum _BullFr Kummer.jpg
149;(Bull:Fr) Fr;Bradavičasta žljezdarica, žljezdolika drhtalica;;glandulosa;3;/slike/gljive/Exidia _glandulosa _BullFr Fr.jpg
150;;;;recisa;3;/slike/gljive/Exidia_recisa.jpg
151;;;;carbonaria;3;/slike/gljive/Faerberia_carbonaria.jpg
152;(Sch:Fr) With;Jetrenka, vukovo meso, jetrenjača, goveđi jezik, volovski jezik, jetrenica, volovska jetra;;hepatica;5;/slike/gljive/Fistulina _hepatica _SchFr With.jpg
153;(Curt:Fr) Karsten;Zimska panjevčica, baršunasta panjevčica, zimska plamenjača;;velutipes;8;/slike/gljive/Flammulina _velutipes _CurtFr Karsten.jpg
154;(L:Fr) Fr;Kresivna guba, kopitarka, bukova guba;;fomentarius;3;/slike/gljive/Fomes _fomentarius _LFr Fr.jpg
155;(Swartz:Fr) Karsten;Obrubljena guba, smrekina kopitarka;;pinicola;3;/slike/gljive/Fomitopsis _pinicola _SwartzFr Karsten.jpg
156;(L.) F.H. Wigg.;Žuta sluznjača;;septica;3;/slike/gljive/Fuligo_ septica _L. F.H. Wigg..jpg
157;(Curt:Fr) Karsten;Hrastova sjajnica;;lucidum;8;/slike/gljive/Ganoderma _lucidum _CurtFr Karsten.jpg
158;(Huds.) Hook.;Zategnuta zvjezdača;;fornicatum;3;/slike/gljive/Geastrum  _fornicatum_Huds. Hook..jpg
159;;;;quadrifidum;3;/slike/gljive/Geastrum_quadrifidum.jpg
160;Junghuhn;Troslojna zvjezdača, trostruka zvjezdača;;triplex;3;/slike/gljive/Geastrum _triplex _Junghuhn.jpg
161;(Cooke) M. Torre;Cedrova krunčica;;sumneriana;3;/slike/gljive/Geopora _sumneriana _Cooke M. Torre.jpg
162;(Alb. & Sch.) Sacc.;Ugljenski pehar;;carbonaria;3;/slike/gljive/Geopyxis _carbonaria _Alb.  Sch. Sacc..jpg
163;(Sch:fr) Fr;Veliki slinar;;glutinosus;6;/slike/gljive/Gomphidius _glutinosus _Schfr Fr.jpg
164;;;1;roseus;5;/slike/gljive/Gomphidius _roseus.jpg
165;(Dicks.) Gray;Zečarka, zec-gljiva, klepetača, zajčeki, veliki žbunac, dedik, sivi žbunac;;frondosa;8;/slike/gljive/Grifola _frondosa _Dicks. Gray.jpg
166;(Pers.) Pilat;Jelenovo uho, hrastov žbunac, sarvašica, jelenček, jelenak, gljivice;1;umbellata;6;/slike/gljive/Grifola _umbellata _Pers. Pilat.jpg
167;;;;helvelloides;5;/slike/gljive/Guepinia_helvelloides.jpg
168;(Fr:Fr) Smith;Divna plamenka, Čudesna razornica;;spectabilis;2;/slike/gljive/Gymnopilus_spectabilis.jpg
169;(Pers:Fr) Fr;Proljetni hrčak, rani hrčak, proljetna moždanica, lažni smrčak;1;esculenta;2;/slike/gljive/Gyromitra _esculenta _PersFr Fr.jpg
170;;;;infula;2;/slike/gljive/Gyromitra_infula.jpg
171;(Bull:Fr) Quelet;Kestenjasti vrganj, kestenov vrganj, kestenov žljebovac, maronka;;castaneus;6;/slike/gljive/Gyroporus _castaneus _BullFr Quelet.jpg
172;(Paulet) Gillet;Rotkvičava tupavica, gorušičina plavulja;;sinapizans;2;/slike/gljive/Hebeloma_sinapizans _Paulet Gillet.jpg
173;(L.) Quel.;Proljetna rebrašica;;acetabulum;3;/slike/gljive/Helvella _acetabulum _L. Quel..jpg
174;(Scop:Fr) Fr;Jesenski hrčak, jesenji hrčak, jesenja jamičarka;;crispa;4;/slike/gljive/Helvella _crispa _ScopFr Fr.jpg
175;;;;elastica;3;/slike/gljive/Helvella _elastica.jpg
176;(Pers.) Nannf.;Crnobijela rebrašica;;leucomelaena;3;/slike/gljive/Helvella _leucomelaena.jpg
177;Schaeff.;Crnobijeli hrčak;1;spadicea;3;/slike/gljive/Helvella_spadicea _Schaeff..jpg
178;;;;lactea;3;/slike/gljive/Hemimycena _lactea.jpg
179;(Pers.) Nikol.;Kovrčasti igličar, bodljikavi igličar;;cirrhatum;5;/slike/gljive/Hericium _cirrhatum _Pers. Nikol..jpg
180;;;;hemisphaerica;3;/slike/gljive/Humaria_hemisphaerica.jpg
181;(Pers.) P. Karst.;Nezgrapna ježevica, zbijena plutovka;;compactum;3;/slike/gljive/Hydnellum _compactum _Pers. P. Karst..jpg
182;;;;peckii;3;/slike/gljive/Hydnellum_peckii.jpg
183;;;;albidum;5;/slike/gljive/Hydnum_albidum.jpg
184;L:Fr;Prosenjak, migač, žuta ježevica;;repandum;6;/slike/gljive/Hydnum _repandum _LFr.jpg
185;;Ružičasta (ljubičasta) vlažnica;1;calyptriformis;5;/slike/gljive/Hygrociba_Calyptryformus.jpg
186;(Scop:Fr) Kummer;Stožasta vlažnica, konična vlažnica, stožasta staklača, stožarka;;conica;3;/slike/gljive/Hygrocybe  _conica_ScopFr Kummer.jpg
187;(Fr.) Murrill;Livadna zlatača,livadna sočnica;;pratensis;7;/slike/gljive/Camarophyllus_pratensis.jpg
188;;Velika crvena vlaznica,Crvenoglava socnica;1;punicea(Fr.:Fr.)Kummer;7;/slike/gljive/Hygrocybe_puniceaFr.Fr.Kummer.jpg
189;(Wulfen) Orton & Watling;Djevičanska vlažnica, djevičanska sočnica, snježna sočnica;;virginea;5;/slike/gljive/Hygrocybe  _virginea _Wulfen Orton  Watling.jpg
190;;-;;(splendidissima/aurantiosplendens);5;/slike/gljive/Hygrocybe_coccinea.jpg
191;(Wulf:Fr) Maire;Lažna lisičica;;aurantiaca;3;/slike/gljive/Hygrophoropsis _aurantiaca _WulfFr Maire.jpg
192;(Fr) Fr;Mirisna puževica, bademova puževica;;agathosmus;5;/slike/gljive/Hygrophorus _agathosmus _Fr Fr.jpg
193;(Arrh.)Fries;Zlatna puzevica;1;aureus;7;/slike/gljive/Hygrophorus_aureusArrh.Fries.jpg
194;(Batsch:Fr) Fr;Zlatnožuta puževica, zlatnozuba puževica, zlatnomrljasta puževica;;chrysodon;5;/slike/gljive/Hygrophorus _chrysodon _BatschFr Fr.jpg
195;;;;dichrous;6;/slike/gljive/Hygrophorus _dichrous.jpg
196;(Fr.: Fr.) Fr.;Kasna puzevica,Jesenja puzevica;1;hypothejus;7;/slike/gljive/Hygrophorus _hypotheius.jpg
197;Britzelm.;Viskozna puževica;;latitabundus;7;/slike/gljive/Hygrophorus_olivaceoalbus.jpg
198;Kalchbr.;Ariševa puževica;1;lucorum;5;/slike/gljive/Hygrophorus _lucorum _Kalchbr..jpg
199;(Fr:Fr) Bresadola;Ožujka, martovka, marčnica, ožujska puževica, snježnica, proljetna sočnica, marčevka;1;marzuolus;7;/slike/gljive/Hygrophorus_marzuolus_FrFr Bresadola.jpg
200;(Pers:Fr) Fr;Tupoglavka, tupoglava puževica, šumska puževica;;nemoreus;6;/slike/gljive/Hygrophorus _nemoreus _PersFr Fr.jpg
